filename,start_time_s,end_time_s,chroma_mean,chroma_std,mfccs_mean,mfccs_std,cluster
intro ingrid.wav,43.1078458,50.73560091,0.3127531,0.31700122,-16.548925,106.442314,0
Voice 137.wav,1023.013152,1099.209433,0.3472923,0.3121688,-14.208067,110.384315,0
Voice 109-1.wav,187.396644,304.0188662,0.32529035,0.32541397,-14.983692,109.90376,0
Voice 032.wav,80.65451247,93.83183673,0.32611907,0.32061598,-12.07907,116.215004,0
Fattig bondräng.wav,85.83256236,88.46802721,0.35631818,0.30944112,-17.737743,109.67133,0
20180606_233236.wav,152.4041723,178.8284807,0.3909122,0.316318,-22.152174,116.037834,0
Fattig bondräng.wav,82.0244898,85.83256236,0.3585556,0.31362665,-19.985344,107.06933,0
Voice 109-1.wav,148.8631293,180.5467574,0.31764847,0.32649136,-15.541062,114.06616,0
20170330_171409.wav,522.0078005,562.7936508,0.33335432,0.31376716,-18.211971,118.67922,0
Voice 162.wav,500.761542,585.8626757,0.35230213,0.31468046,-15.193991,124.58888,0
Voice 097.wav,30.69678005,50.53823129,0.3244817,0.31387785,-13.32726,118.86342,0
20170330_171409.wav,716.2427211,951.9020408,0.374671,0.31513438,-17.056156,113.44257,0
Voice 091.wav,2.29877551,11.81895692,0.38743955,0.31922027,-16.9372,118.9079,0
Voice 111.wav,2.263945578,3.796462585,0.3429487,0.3270214,-14.762036,115.68215,0
20180221_144403riffnice.wav,712.5971882,726.4943311,0.36897984,0.31273925,-15.263286,122.50474,0
20170330_171409.wav,562.7936508,716.2427211,0.37243402,0.3208181,-19.716064,118.181564,0
Voice 162.wav,441.1907483,484.6468934,0.32626742,0.30805057,-16.070366,118.34297,0
polski.wav,240.4426304,251.6346485,0.31819373,0.320324,-13.130934,111.615776,0
Voice 109-1.wav,78.65759637,142.5705215,0.32287586,0.32784423,-15.4567585,113.84854,0
20170303_132535.wav,2274.499048,2644.880544,0.3310881,0.30902904,-15.950657,113.82302,0
guit plonk.wav,30.74321995,34.49324263,0.33095235,0.3242169,-15.237721,118.74685,0
må din väg.wav,214.0879819,283.6781859,0.3571718,0.31785953,-16.652172,124.73673,0
guit plonk.wav,21.76870748,24.43900227,0.38812968,0.31448132,-12.519509,109.76741,0
må din väg.wav,164.0373696,214.0879819,0.34528178,0.30730936,-16.22675,117.9018,0
Voice 046.wav,7.07047619,32.14802721,0.35809517,0.3195187,-15.103844,116.8222,0
Voice 122.wav,79.21487528,115.7630839,0.3827046,0.31938782,-12.075929,113.595856,0
20180416_094251.wav,4.284081633,138.5999093,0.37969062,0.32441434,-13.378383,119.31419,0
w.wav,139.0875283,196.3247166,0.32242417,0.31983626,-16.177711,118.138504,0
20170330_171409.wav,215.8294785,522.0078005,0.36060852,0.3141568,-18.624123,117.648895,0
w.wav,127.7910204,139.0875283,0.29581913,0.32170877,-15.741618,123.58744,0
w.wav,65.99111111,127.7910204,0.31032902,0.31710166,-16.476507,114.47114,0
20180209_162048.wav,3.332063492,18.91265306,0.32496318,0.32342643,-15.2601185,126.68328,0
20180306_194238.wav,14.68662132,40.12408163,0.34431112,0.31136492,-13.531008,113.30601,0
20170330_171409.wav,0,215.8294785,0.38774416,0.3133785,-15.30149,110.62355,0
20170330_171409.wav,951.9020408,1282.716735,0.35673434,0.31795815,-17.128307,109.50028,0
Voice 013.wav,8.126984127,9.810430839,0.38849828,0.32201204,-14.866986,119.93791,0
20170330_171409.wav,1282.716735,1627.90458,0.35671037,0.31677932,-17.311817,116.39038,0
Voice 030.wav,56.28517007,234.0687528,0.34037447,0.31780708,-11.272266,115.98862,0
Voice 051.wav,9.613061224,81.35111111,0.33200446,0.31072104,-13.075987,116.50728,0
yyg8.wav,233.7552834,245.8877098,0.32879043,0.31287256,-14.302631,118.57911,0
Soatake.wav,282.5520181,316.4531519,0.37278393,0.3156517,-12.094473,110.175575,0
Voice 051.wav,81.35111111,106.9046712,0.34430677,0.3225312,-14.340436,110.889595,0
Voice 024.wav,129.044898,130.3336054,0.30270618,0.31289086,-13.469509,114.27386,0
